100049563,"kakusei non-coding nuclear RNA"
100049571,"AncR-1 non-coding nuclear RNA"
100049572,"Ks-1 non-coding nuclear RNA"
100187599,"uncharacterized protein LOC100187599"
100188940,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4"
100191002,"ribosomal protein L41"
100216325,"extra macrochaetae"
100302106,"uncharacterized protein LOC100302106"
100302584,"immune deficiency isoform X1"
100315656,ame-let-7
100315657,ame-miR-10
100315658,ame-miR-100
100315659,ame-miR-137
100315660,ame-miR-13a
100315661,ame-miR-14
100315662,ame-miR-2
100315663,ame-miR-275
100315664,ame-miR-279a
100315665,ame-miR-283
100315666,ame-miR-31a
100315667,ame-miR-33
100315668,ame-miR-34
100315669,ame-miR-71
100315670,ame-miR-79
100315671,ame-miR-87
100315672,ame-miR-92a
100315673,ame-miR-927a
100315674,ame-miR-928
100315675,ame-miR-929
100315676,ame-miR-932
100315677,ame-miR-252a
100315678,ame-miR-996
100315679,ame-miR-263b
100315680,ame-miR-92b
100315681,ame-miR-985
100315682,ame-miR-1000
100315683,ame-miR-1006
100315684,ame-miR-316
100315685,ame-miR-993
100315686,ame-miR-29b
100315687,ame-miR-375
100315688,ame-miR-87
100315689,ame-miR-190
100315690,ame-miR-13b
100315691,ame-miR-92b
100315692,ame-miR-981
100498677,ame-miR-1
100576080,"uncharacterized LOC100576080, transcript variant X3"
100576084,"uncharacterized LOC100576084, transcript variant 3"
100576102,"uncharacterized LOC100576102"
100576103,"uncharacterized LOC100576103"
100576105,"uncharacterized LOC100576105"
100576108,"uncharacterized LOC100576108"
100576112,"uncharacterized protein LOC100576112"
100576115,"carbonic anhydrase 2-like"
100576137,"uncharacterized protein LOC100576137"
100576139,"uncharacterized LOC100576139"
100576145,"adenylyl cyclase-associated protein 1-like"
100576148,tectonic-1-like
100576155,"uncharacterized protein LOC100576155"
100576161,"uncharacterized protein LOC100576161"
100576165,"uncharacterized protein LOC100576165"
100576168,"uncharacterized LOC100576168"
100576171,"bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like"
100576172,"uncharacterized protein LOC100576172"
100576173,"uncharacterized protein LOC100576173 isoform X1"
100576180,"odorant receptor Or2-like"
100576183,"uncharacterized LOC100576183, transcript variant X2"
100576189,"uncharacterized LOC100576189, transcript variant X2"
100576199,"uncharacterized LOC100576199, transcript variant X2"
100576207,"uncharacterized LOC100576207"
100576211,"uncharacterized LOC100576211"
100576215,"pancreas transcription factor 1 subunit alpha-like isoformX1"
100576223,"putative leucine-rich repeat-containing protein DDB_G0290503-like isoform X2"
100576230,"uncharacterized LOC100576230, transcript variant X1"
100576231,"uncharacterized protein LOC100576231"
100576240,"uncharacterized LOC100576240"
100576243,"histone-lysine N-methyltransferase SETMAR-like"
100576244,"beta-glucosidase 42-like"
100576247,"frizzled-2-like, transcript variant X8"
100576257,"uncharacterized LOC100576257, transcript variant X2"
100576260,"uncharacterized protein LOC100576260"
100576265,"uncharacterized protein PFB0765w-like"
100576274,"zinc finger protein 836-like isoform X1"
100576277,"uncharacterized LOC100576277, transcript variant X6"
100576281,"uncharacterized LOC100576281"
100576283,"uncharacterized LOC100576283, transcript variant X2"
100576288,"uncharacterized LOC100576288, transcript variant X23"
100576295,"uncharacterized LOC100576295"
100576297,"uncharacterized LOC100576297"
100576299,"uncharacterized LOC100576299"
100576301,"uncharacterized LOC100576301"
100576302,"uncharacterized LOC100576302"
100576318,"uncharacterized LOC100576318"
100576319,"uncharacterized LOC100576319, transcript variant X1"
100576330,"uncharacterized protein LOC100576330"
100576336,"uncharacterized protein LOC100576336 isoform X2"
100576338,"uncharacterized LOC100576338"
100576346,"MATH and LRR domain-containing protein PFE0570w-like"
100576358,"uncharacterized LOC100576358, transcript variant X1"
100576376,"uncharacterized LOC100576376"
100576380,"uncharacterized protein LOC100576380"
100576382,"uncharacterized protein LOC100576382"
100576397,"uncharacterized LOC100576397, transcript variant X2"
100576401,"uncharacterized protein LOC100576401 isoform X1"
100576417,"uncharacterized LOC100576417, transcript variant X1"
100576419,"uncharacterized LOC100576419, transcript variant X1"
100576420,"putative uncharacterized protein DDB_G0282499-like"
100576430,"uncharacterized LOC100576430, transcript variant X1"
100576445,"uncharacterized LOC100576445"
100576451,"uncharacterized LOC100576451, transcript variant X1"
100576452,"uncharacterized LOC100576452, transcript variant 1"
100576453,"LOW QUALITY PROTEIN: protein cornichon-like"
100576456,"probable metal-nicotianamine transporter YSL16-like"
100576464,"uncharacterized protein MAL13P1.304-like"
100576483,"uncharacterized LOC100576483"
100576493,"uncharacterized LOC100576493"
100576503,"uncharacterized LOC100576503"
100576504,"uncharacterized LOC100576504"
100576513,"uncharacterized LOC100576513, transcript variant X2"
100576519,"TLD domain-containing protein 1-like isoform 1"
100576520,"uncharacterized LOC100576520"
100576525,"acyl-coenzyme A thioesterase 12-like"
100576534,"zinc finger protein 30-like"
100576535,"uncharacterized LOC100576535"
100576536,"uncharacterized protein LOC100576536"
100576541,"uncharacterized LOC100576541"
100576546,"uncharacterized LOC100576546"
100576549,"uncharacterized LOC100576549"
